Chemical splash goggles || S1:Safety, PPE & Security > Eye & Hearing Protection > Goggle with chemical splash protection (65.69) || S2: >  (use=False) || Final:Safety, PPE & Security>Eye & Hearing Protection>Goggle with chemical splash protection [Ambiguous]
Pressure gauge 0-10 bar || S1:IT, Networks, Automation & Instrumentation > Instrumentation Devices > Pressure gauge (49.49) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Instrumentation Devices>Pressure gauge [Manual-Low]
Blue ball en || S1:Office, Breakroom & Facility Supplies > Stationery > Ball point pen (23.69) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Stationery>Ball point pen [Manual-Low]
Wire rope 10 mm || S1:Mechanical & Maintenance > Mechanical Parts > Wire rope 10 mm (62.01) || S2: >  (use=False) || Final:Mechanical & Maintenance>Mechanical Parts>Wire rope 10 mm [Ambiguous]
Cutting fluid coolant || S1:Chemicals, Lubricants & Adhesives > Process Chemicals > Cutting coolant (55.19) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Process Chemicals>Cutting coolant [Ambiguous]
LED tube light 4 ft || S1:Lighting > Indoor Lighting > LED tube light (59.49) || S2: >  (use=False) || Final:Lighting>Indoor Lighting>LED tube light [Ambiguous]
First aid kit wall mounted || S1:General Industrial > General Consumables > First aid kit wall mounted (56.17) || S2: >  (use=False) || Final:General Industrial>General Consumables>First aid kit wall mounted [Ambiguous]
Control transformer 230/24 V || S1:Electrical & Instrumentation > Electrical Components > Control transformer 230/24 V (51.58) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Control transformer 230/24 V [Ambiguous]
Low voltage switchgear panel || S1:Electrical & Power Distribution > Panels & Boards > Low voltage power distribution panel (56.17) || S2: >  (use=False) || Final:Electrical & Power Distribution>Panels & Boards>Low voltage power distribution panel [Ambiguous]
Control transformer 230/24 V || S1:Electrical & Instrumentation > Electrical Components > Control transformer 230/24 V (51.58) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Control transformer 230/24 V [Ambiguous]
Feeler gauge set || S1:IT, Networks, Automation & Instrumentation > Instrumentation Devices > Pressure gauge (49.39) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Instrumentation Devices>Pressure gauge [Manual-Low]
Butterfly valve 2 inch || S1:Industrial Supplies & Equipment > Valves > Butterfly valve (63.57) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Valves>Butterfly valve [Ambiguous]
UPS 1 kVA || S1:Electrical & Power Distribution > Power Quality & Backup > Uninterruptible power supply (UPS) (59.24) || S2: >  (use=False) || Final:Electrical & Power Distribution>Power Quality & Backup>Uninterruptible power supply (UPS) [Ambiguous]
Control relay 24 VDC || S1:Electrical & Instrumentation > Electrical Components > Control relay 24 VDC (51.63) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>Control relay 24 VDC [Ambiguous]
Nylon cable tie 20 0mm || S1:General Industrial > General Consumables > Nylon cable tie 20 0mm (59.87) || S2: >  (use=False) || Final:General Industrial>General Consumables>Nylon cable tie 20 0mm [Ambiguous]
Pressure transmitter 0-10 bar || S1:IT, Networks, Automation & Instrumentation > Sensors & Transmitters > Pressure transmitter (47.81) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Sensors & Transmitters>Pressure transmitter [Manual-Low]
Paper towel roll || S1:Janitorial, Sanitation & Waste > Washroom Supplies > Toilet paper roll (56.25) || S2: >  (use=False) || Final:Janitorial, Sanitation & Waste>Washroom Supplies>Toilet paper roll [Ambiguous]
Ceiling fan 1200 mm || S1:General Industrial > General Consumables > Ceiling fan 1200 mm (48.63) || S2: >  (use=False) || Final:General Industrial>General Consumables>Ceiling fan 1200 mm [Manual-Low]
Anaerobic thread locker || S1:Chemicals, Lubricants & Adhesives > Adhesives & Sealants > Anaerobic thread locker (63.74) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Adhesives & Sealants>Anaerobic thread locker [Ambiguous]
Surfac plate cast iron || S1:General Industrial > General Consumables > Surfac plate cast iron (53.75) || S2: >  (use=False) || Final:General Industrial>General Consumables>Surfac plate cast iron [Ambiguous]
Hydraulic bottle jack 5 T || S1:Fleet, Garage & Material Handling > Garage Tools & Equipment > Bottle jack (56.87) || S2: >  (use=False) || Final:Fleet, Garage & Material Handling>Garage Tools & Equipment>Bottle jack [Ambiguous]
Blue banl pen || S1:Office & Stationery > Office Supplies > Blue banl pen (49.71) || S2: >  (use=False) || Final:Office & Stationery>Office Supplies>Blue banl pen [Manual-Low]
Laser printer cartridge || S1:Office, Breakroom & Facility Supplies > Printing & Copier Supplies > Laser printer toner cartridge (65.2) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Printing & Copier Supplies>Laser printer toner cartridge [Ambiguous]
Copper busbar 25x5 mm || S1:General Industrial > General Consumables > Copper busbar 25x5 mm (55.3) || S2: >  (use=False) || Final:General Industrial>General Consumables>Copper busbar 25x5 mm [Ambiguous]
Centrifugal pump 3 HP || S1:Industrial Supplies & Equipment > Pumps > Centrifugal process pump (58.11) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Pumps>Centrifugal process pump [Ambiguous]
Welding electrode E6013 || S1:Tools & Hardware > Welding Equipment > Welding electrode holder (63.9) || S2: >  (use=False) || Final:Tools & Hardware>Welding Equipment>Welding electrode holder [Ambiguous]
Feeler gauge set || S1:IT, Networks, Automation & Instrumentation > Instrumentation Devices > Pressure gauge (49.39) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Instrumentation Devices>Pressure gauge [Manual-Low]
Platform hand trolley || S1:Tools & Hardware > Workshop Equipment > Tool trolley (52.38) || S2: >  (use=False) || Final:Tools & Hardware>Workshop Equipment>Tool trolley [Ambiguous]
Hard cover notebook A4 || S1:Office & Stationery > Office Supplies > Hard cover notebook A4 (42.05) || S2: >  (use=False) || Final:Office & Stationery>Office Supplies>Hard cover notebook A4 [Manual-Low]
Welding electrode E6013 || S1:Tools & Hardware > Welding Equipment > Welding electrode holder (63.9) || S2: >  (use=False) || Final:Tools & Hardware>Welding Equipment>Welding electrode holder [Ambiguous]
A4 copier paper 80 gsm || S1:Office, Breakroom & Facility Supplies > Printing & Copier Supplies > A4 copier paper (56.42) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Printing & Copier Supplies>A4 copier paper [Ambiguous]
Welding cable 25 sqmm || S1:Tools & Hardware > Welding Equipment > Welding cable (61.06) || S2: >  (use=False) || Final:Tools & Hardware>Welding Equipment>Welding cable [Ambiguous]
LED panel light 600x600 || S1:Lighting > Indoor Lighting > LED panel light (54.08) || S2: >  (use=False) || Final:Lighting>Indoor Lighting>LED panel light [Ambiguous]
Full face shield || S1:Safety, PPE & Security > Head & Face Protection > Face shield (47.72) || S2: >  (use=False) || Final:Safety, PPE & Security>Head & Face Protection>Face shield [Manual-Low]
Insulated screwdriver set || S1:Tools & Hardware > Hand Tools > Screwdriver set (51.55) || S2: >  (use=False) || Final:Tools & Hardware>Hand Tools>Screwdriver set [Ambiguous]
Office work table || S1:Office, Breakroom & Facility Supplies > Office Furniture > Office workstation desk (53.01) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Office Furniture>Office workstation desk [Ambiguous]
CO2 fire extinguister 3 kg || S1:Safety, PPE & Security > Fire Safety Equipment > CO2 fire extinguisher (56.14) || S2: >  (use=False) || Final:Safety, PPE & Security>Fire Safety Equipment>CO2 fire extinguisher [Ambiguous]
Insulated screwdriver set || S1:Tools & Hardware > Hand Tools > Screwdriver set (51.55) || S2: >  (use=False) || Final:Tools & Hardware>Hand Tools>Screwdriver set [Ambiguous]
Extensioncord 5 m || S1:General Industrial > General Consumables > Extensioncord 5 m (39.13) || S2: >  (use=False) || Final:General Industrial>General Consumables>Extensioncord 5 m [Manual-Low]
Extension cord 5 m || S1:General Industrial > General Consumables > Extension cord 5 m (45.28) || S2: >  (use=False) || Final:General Industrial>General Consumables>Extension cord 5 m [Manual-Low]
